iter	RMSE
0	0.5645964775
1	0.5514507355
2	0.5392271619
3	0.5282385435
4	0.5189609214
5	0.5109360189
6	0.5029901452
7	0.4962009098
8	0.4899912766
9	0.4842714338
10	0.47944636
11	0.4751715645
12	0.4712134162
13	0.4677216785
14	0.4645021562
15	0.4602462702
16	0.4568444048
17	0.4532286811
18	0.4513670817
19	0.4492089873
20	0.4467653895
21	0.4444997356
22	0.4424834325
23	0.4411846043
24	0.4393730465
25	0.4377159048
26	0.4357532285
27	0.4341844596
28	0.4323102668
29	0.4312406311
30	0.430267682
31	0.4290326345
32	0.4279821849
33	0.4271985678
34	0.4261220128
35	0.4249575417
36	0.4236776338
37	0.4225574859
38	0.4218320483
39	0.4207387116
40	0.4200495013
41	0.4191555879
42	0.4178862116
43	0.4174940309
44	0.4170982174
45	0.4161276921
46	0.4151355214
47	0.4143059693
48	0.4135230414
49	0.4117518824
50	0.4112790241
51	0.4102934538
52	0.4097083842
53	0.4091782923
54	0.4087877711
55	0.4081351016
56	0.4076132102
57	0.4072153319
58	0.4067010926
59	0.4060229713
60	0.4053251492
61	0.4048896227
62	0.4042366812
63	0.4038398706
64	0.4034191873
65	0.4031023043
66	0.4026075549
67	0.4019325629
68	0.401287175
69	0.4007804974
70	0.4005034413
71	0.399883622
72	0.3995115037
73	0.3993324314
74	0.3989724717
75	0.3985722729
76	0.3976185956
77	0.3972707747
78	0.3966230295
79	0.3964201987
80	0.3959157621
81	0.3951290342
82	0.394826687
83	0.3942447956
84	0.3938592357
85	0.3933562006
86	0.3930465291
87	0.3925396997
88	0.3923572619
89	0.3918399285
90	0.3913681181
91	0.3909642703
92	0.390752254
93	0.3905641333
94	0.3903610616
95	0.3899622661
96	0.3894683519
97	0.388894415
98	0.3886990346
99	0.3880223535
100	0.3877356734
101	0.3872369841
102	0.3870366781
103	0.3867052089
104	0.3865575692
105	0.3859234672
106	0.3854954708
107	0.384978541
108	0.3845073289
109	0.3841516033
110	0.3840034669
111	0.3838483922
112	0.3833698947
113	0.3831151613
114	0.3828369453
115	0.3823939457
116	0.3819440031
117	0.3817054527
118	0.3810243301
119	0.3807773766
120	0.3804345731
121	0.3802325225
122	0.3797999177
123	0.379526938
124	0.3794637558
125	0.3791350399
126	0.3786714662
127	0.3783539918
128	0.3779004222
129	0.3776246763
130	0.3769015121
131	0.3761245506
132	0.3756261873
133	0.3755258399
134	0.3751625581
135	0.3742202627
136	0.3739827684
137	0.3734193849
138	0.3730922808
139	0.3723990397
140	0.3721570406
141	0.3719269168
142	0.3714043824
143	0.370941072
144	0.3699503828
145	0.3696069339
146	0.3689147394
147	0.3688895591
148	0.3683876196
149	0.3679238448
150	0.3675221995
151	0.3667166572
152	0.366301686
153	0.3656844577
154	0.3652536389
155	0.3648985832
156	0.3645695449
157	0.3642299564
158	0.3638001381
159	0.3632801816
160	0.3626289068
161	0.3624315729
162	0.3618606228
163	0.3616202632
164	0.3610910643
165	0.3608088951
166	0.3602286684
167	0.3595918549
168	0.359250127
169	0.3590004593
170	0.3586093311
171	0.3581067894
172	0.3577315009
173	0.3571724997
174	0.3571050357
175	0.3568345039
176	0.3564105209
177	0.3562183039
178	0.3559699763
179	0.3554560419
180	0.3548613221
181	0.3547594759
182	0.3542727679
183	0.3540865514
184	0.3536880791
185	0.353537719
186	0.3530682066
187	0.3529282494
