iter	Passed	Remaining
0	1232	1231698
1	2403	1199497
2	3622	1203752
3	4844	1206220
4	6040	1202086
5	7223	1196653
6	8410	1193148
7	9610	1191641
8	10830	1192515
9	12034	1191417
10	13254	1191682
11	14473	1191611
12	15668	1189633
13	16835	1185700
14	17105	1123274
15	18274	1123892
16	19432	1123634
17	20646	1126381
18	21843	1127828
19	23027	1128348
20	24208	1128576
21	25429	1130464
22	26627	1131079
23	27846	1132428
24	29053	1133077
25	30260	1133605
26	31458	1133682
27	32654	1133590
28	33854	1133538
29	35067	1133845
30	36260	1133427
31	37500	1134390
32	38677	1133363
33	39890	1133367
34	41066	1132266
35	42250	1131387
36	43455	1131018
37	44667	1130791
38	45877	1130474
39	47087	1130097
40	48317	1130164
41	49524	1129631
42	50730	1129052
43	51948	1128708
44	53171	1128411
45	54399	1128204
46	55604	1127468
47	56825	1127042
48	58032	1126313
49	59236	1125491
50	60458	1124993
51	61660	1124119
52	62878	1123510
53	64087	1122709
54	65317	1122279
55	66509	1121165
56	67711	1120215
57	68891	1118898
58	70084	1117796
59	71321	1117371
60	72512	1116223
61	73719	1115301
62	74940	1114585
63	76163	1113891
64	77361	1112810
65	78568	1111860
66	79767	1110791
67	80973	1109817
68	82185	1108906
69	83364	1107559
70	84595	1106885
71	85778	1105588
72	86995	1104728
73	88201	1103713
74	89395	1102546
75	90609	1101626
76	91853	1101052
77	93058	1100002
78	94327	1099687
79	95538	1098689
80	96738	1097567
81	97975	1096852
82	99178	1095739
83	100419	1095045
84	101670	1094451
85	102868	1093280
86	104092	1092368
87	105311	1091405
88	106542	1090562
89	107778	1089759
90	109002	1088830
91	110237	1087998
92	111417	1086622
93	112623	1085501
94	113835	1084429
95	115068	1083564
96	116319	1082847
97	117523	1081696
98	117601	1070292
99	118782	1069044
100	119974	1067894
101	121153	1066627
102	122347	1065488
103	123552	1064454
104	124781	1063616
105	125983	1062539
106	127355	1062881
107	128693	1062914
108	130026	1062877
109	131290	1062260
110	132574	1061789
111	133905	1061679
112	135128	1060696
113	136394	1060049
114	137624	1059107
115	138864	1058242
116	140125	1057530
117	141343	1056480
118	142594	1055675
119	143846	1054877
120	145083	1053950
121	146339	1053164
122	147576	1052232
123	148827	1051395
124	150065	1050458
125	151264	1049250
126	152792	1050301
127	154723	1054051
128	156869	1059170
129	158533	1060952
130	159958	1061100
131	161186	1059920
132	162430	1058854
133	163642	1057572
134	164880	1056455
135	166155	1055578
136	167483	1055026
137	168813	1054471
138	170069	1053449
139	171258	1052015
140	172465	1050695
141	173674	1049382
142	174980	1048660
143	176270	1047830
144	177478	1046513
145	178701	1045279
146	179990	1044433
147	180000	1036220
148	181275	1035339
149	182608	1034782
150	183905	1034013
151	185269	1033606
152	186541	1032684
153	187761	1031468
154	189041	1030583
155	190678	1031618
156	192389	1033021
157	193655	1032014
158	194889	1030830
159	196167	1029880
160	197514	1029282
161	198970	1029242
162	200351	1028796
163	201794	1028659
164	203332	1028987
165	204935	1029615
166	206880	1031924
167	208986	1034978
168	210897	1037018
169	212645	1038211
170	214241	1038631
171	215608	1037930
172	216844	1036592
173	218173	1035698
174	219581	1035170
175	220898	1034207
176	222294	1033607
177	223564	1032417
178	224918	1031607
179	226240	1030652
180	227590	1029815
181	228980	1029154
182	230308	1028207
183	231718	1027622
184	233074	1026785
185	234656	1026939
186	236127	1026584
187	237427	1025485
188	238756	1024503
189	240050	1023371
190	241340	1022222
191	242593	1020914
192	243834	1019555
193	245067	1018166
194	246344	1016958
195	247594	1015642
196	248818	1014220
197	250097	1013021
198	251365	1011779
199	252633	1010534
200	253913	1009336
201	255158	1008003
202	256418	1006727
203	257687	1005486
204	258918	1004099
205	260187	1002860
206	261459	1001630
207	262704	1000298
208	263932	998904
209	265136	997419
210	266358	996003
211	267638	994806
212	268880	993469
213	270135	992178
214	271404	990943
215	272622	989517
216	273806	987973
217	275002	986478
218	276216	985045
219	277627	984316
220	278951	983273
221	280278	982238
222	281657	981381
223	282913	980092
224	284150	978740
225	285428	977528
226	286674	976207
227	287887	974777
228	289190	973650
229	290506	972563
230	291733	971181
231	292986	969887
232	294300	968791
233	295631	967750
234	296919	966568
235	298240	965491
236	299663	964740
237	300982	963651
238	302219	962297
239	303456	960945
240	304746	959762
241	305966	958356
242	307156	956861
243	308373	955453
244	309600	954074
245	310824	952688
246	312125	951540
247	313565	950812
248	314859	949635
249	316130	948391
250	317380	947083
251	318628	945771
252	319924	944597
253	321256	943532
254	322548	942347
255	323822	941110
256	325122	939945
257	326406	938735
258	327741	937668
259	328934	936196
260	330128	934730
261	331362	933378
262	332578	931979
263	333832	930684
264	335054	929301
265	336295	927972
266	337515	926588
267	338729	925186
268	339945	923793
269	341132	922320
270	342332	920885
271	343533	919456
272	344736	918035
273	345974	916704
274	347193	915328
275	348436	914015
276	349658	912647
277	350865	911239
278	352096	909896
279	353302	908491
280	354564	907231
281	355823	905963
282	357124	904798
283	358409	903594
284	359791	902634
285	361064	901397
286	362287	900037
287	363545	898766
288	364861	897635
289	366168	896482
290	367418	895188
291	368764	894126
292	370031	892875
293	371246	891497
294	372462	890123
295	373670	888730
296	374879	887342
297	376089	885955
298	377380	884762
299	378645	883506
300	380003	882467
301	381356	881414
302	382688	880309
303	383954	879053
304	385177	877699
305	386487	876544
306	387793	875377
307	389100	874212
308	390367	872956
309	391575	871571
310	392786	870192
311	394010	868843
312	395266	867566
313	396567	866385
314	397915	865308
315	399144	863970
316	400411	862716
317	401663	861430
318	402883	860074
319	404116	858747
320	405455	857646
321	407061	857105
322	408298	855782
323	409578	854552
324	410886	853379
325	412155	852124
326	413397	850814
327	414944	850129
328	416477	849412
329	417737	848134
330	418941	846743
331	420161	845384
332	421390	844046
333	422614	842697
334	423846	841366
335	425065	840010
336	426282	838650
337	427580	837450
338	428893	836278
339	430186	835068
340	431393	833689
341	432619	832349
342	433869	831055
343	435081	829691
344	436295	828328
345	437571	827085
346	438844	825836
347	440133	824618
348	441374	823308
349	442683	822127
350	443947	820859
351	445157	819495
352	446369	818133
353	447625	816853
354	448831	815481
355	450113	814249
356	451379	812988
357	452666	811764
358	453949	810534
359	455214	809269
360	456512	808064
361	457739	806734
362	458984	805435
363	460205	804095
364	461450	802797
365	462686	801483
366	463929	800183
367	465198	798928
368	466445	797634
369	467696	796347
370	468923	795020
371	470128	793658
372	471390	792391
373	472670	791154
374	473914	789857
375	475163	788568
376	476438	787324
377	477690	786041
378	478981	784821
379	480250	783566
380	481481	782250
381	482718	780942
382	484075	779828
383	485360	778599
384	486642	777364
385	487899	776089
386	489152	774807
387	490511	773692
388	491906	772634
389	493165	771361
390	494531	770254
391	495751	768921
392	496958	767566
393	498196	766261
394	499422	764938
395	500687	763674
396	501928	762375
397	503168	761074
398	504395	759753
399	505631	758446
400	506860	757130
401	508092	755819
402	509319	754500
403	510547	753184
404	511796	751898
405	512987	750529
406	514198	749188
407	515467	747933
408	516735	746677
409	518018	745441
410	519302	744206
411	520570	742950
412	521844	741701
413	523104	740433
414	524401	739216
415	525638	737915
416	526934	736696
417	528200	735436
418	529449	734153
419	530694	732863
420	532016	731680
421	533244	730368
422	534505	729101
423	535709	727756
424	536945	726455
425	538156	725122
